Algorithm,Sample Size,Execution Time (s)
QuickSort,10000,0.011254064
QuickSort,20000,0.020116795
QuickSort,30000,0.035337837
QuickSort,40000,0.043045781
QuickSort,50000,0.056386658
QuickSort,60000,0.075417548
QuickSort,70000,0.084063904
QuickSort,80000,0.093976868
QuickSort,90000,0.108956014
QuickSort,100000,0.121950866
MergeSort,10000,0.011448664
MergeSort,20000,0.02458084
MergeSort,30000,0.039925233
MergeSort,40000,0.052912407
MergeSort,50000,0.066104641
MergeSort,60000,0.080311693
MergeSort,70000,0.093367664
MergeSort,80000,0.107508426
MergeSort,90000,0.122160087
MergeSort,100000,0.136010216
